"","site_code","BMI","BMI_special_note","invetigate_no","rank"
"65","1007G012",44.5786516853933,"44.5786516853933","-","D"
"66","1007G016",62.8164556962025,"62.8164556962025","-","C"
"67","1007G020",54.6220930232558,"54.6220930232558","-","C"
"68","1007G024",19.4736842105263,"19.4736842105263","-","E"
"69","1007G030",31.5540540540541,"31.5540540540541","-","E"
"70","1007G034",28.5,"28.5","-","E"
"71","1007G038",20.5487804878049,"20.5487804878049","-","E"
"72","1007G042",28.6363636363636,"28.6363636363636","-","E"
"73","1007G046",71.7021276595745,"71.7021276595745","-","B"
"74","1007G050",47.9166666666667,"47.9166666666667","-","D"
"75","1007G054",64.4444444444444,"64.4444444444444","-","C"
"76","1007G058",30.530303030303,"30.530303030303","-","E"
"77","1007G062",36.3333333333333,"36.3333333333333","-","D"
"78","1007G064",58.3108108108108,"58.3108108108108","-","C"
"79","1007G068",44.3229166666667,"44.3229166666667","-","D"
"80","1007G070",65.9146341463415,"65.9146341463415","-","B"
"81","1007G072",75.7352941176471,"75.7352941176471","-","B"
"82","1007G074",54.7093023255814,"54.7093023255814","-","C"
"83","1007G076",51.0752688172043,"51.0752688172043","-","C"
"84","1007G082",67.5301204819277,"67.5301204819277","-","B"
"85","1007G086",78.2954545454545,"78.2954545454545","-","B"
"86","1007G090",43.1779661016949,"43.1779661016949","-","D"
"87","1007G092",61.9047619047619,"61.9047619047619","-","C"
"88","1007G094",59.9047619047619,"59.9047619047619","-","C"
"89","1007G096",72.1,"72.1","-","B"
"90","1007G102",68.4663865546218,"68.4663865546218","-","B"
"91","1007G106",60.0649350649351,"60.0649350649351","-","C"
"92","1007G108",32.5,"32.5","-","E"
"93","1007G112",63.9423076923077,"63.9423076923077","-","C"
"94","1007G116",40.9210526315789,"40.9210526315789","-","D"
"95","1007G122",49.2647058823529,"49.2647058823529","-","D"
"96","1007G124",56,"56","-","C"
"97","1007G128",74.1206896551724,"74.1206896551724","-","B"
"98","1007G132",45.9615384615385,"45.9615384615385","-","D"
"99","1007G136",58.75,"58.75","-","C"
"100","1007G140",44.5762711864407,"44.5762711864407","-","D"
"101","1007G144",66.7605633802817,"66.7605633802817","-","B"
"102","1007G148",51.1280487804878,"51.1280487804878","-","C"
"103","1007G152",62.5735294117647,"62.5735294117647","-","C"
"104","1007G156",46.3586956521739,"46.3586956521739","-","D"
"105","1007G160",31.7857142857143,"31.7857142857143","-","E"
"106","1007G162",66.9127516778524,"66.9127516778524","-","B"
"107","1007G166",67.4122807017544,"67.4122807017544","-","B"
"108","1007G168",54.9137931034483,"54.9137931034483","-","C"
"109","1007G170",58.0555555555556,"58.0555555555556","-","C"
"110","1007G174",54.5977011494253,"54.5977011494253","-","C"
"111","1007G178",85.7327586206897,"85.7327586206897","-","A"
"112","1007G184",86.3275862068966,"86.3275862068966","-","A"
"113","1007G190",73.7574850299401,"73.7574850299401","-","B"
"114","1007G196",92.2006472491909,"92.2006472491909","-","A"
